Review,Rating,Date,Sentiment
"giao hàng nhanh, sản phẩm giống mô tả, đóng gói kỷ và đẹp , chất lượng hình anh đep okshop",5,14 thg 3 2021,POS
"cam tương đối nét,  ban đêm ổn so với mức giá.  khá là hà lòng.  shipper giao hàng sớm hơn dự kiến nhưng k hài lòng với phong cách phục vụ.  k nhiệt tình. ",5,19 thg 11 2021,NEG
đã mua nhiều lần và rất hài lòng,5,20 thg 5 2021,POS
"mua cũng sài cũng dược 4thang ròi đó,thấy sài cũng ok đó ,về lâu dài thì mình ko biết sạo",5,13 thg 12 2022,POS
ok,5,08 thg 3 2022,POS
Giá Cả:tốt,5,02 thg 6 2023,NEU
OK  ,5,06 thg 9 2023,POS
"Shop giao đúng loại , thank shop",5,22 thg 5 2021,POS
sản phẩm rất tốt cam rõ nét nhưng có đàm thoại gọng nói là ko rõ và ồn,5,12 thg 7 2023,NEU
"Sản phận đã xài được 15 ngày thấy ổn định 
Hình ảnh khá tốt 
Chưa đạt( loa cam nói khó nghe và không rõ khi đàm thoại, nị rè và ù nhiều)
 ",5,12 thg 10 2023,NEU
"đã mua 3 cái, hàng chuẩn 👌",5,11 thg 5 2021,POS
sản phẩm đúng như hình. h chính hãng hình ảnh rõ tiếng trong ,5,17 thg 6 2022,POS
Ảnh cam rõ nét. Kết nối tốt. Mua cái thứ 2. Săn sale giá shop rất tốt ,5,20 thg 9 2023,POS
"San phẩm tốt, giá sale rẻ, hình ảnh mang lại cực nét, nhìu chức năng sử dụng rất thú vị , hàng cực chuẩn, nguyên tem, cửa hàng bán uy tín, tôi đặt mua một lúc 3 cái, rất chi hai lòng, cảm ơn shop , sẽ ủng hộ lâu dài và giới thiệu bạn bè ",5,22 thg 12 2020,POS
"Hàng cực kì chất lượng, shop tư vấn nhiệt tình. Đã lắp đặt và sử dụng ok. Sẽ mua tiếp khi cần.",5,23 thg 4 2021,POS
"camera xài rất ok nha, hình ảnh rõ nét, quay 360 độ nên quay được từ trước ra sau nhà luôn",5,23 thg 6 2023,POS
Ok ạ.Hình ảnh rỏ nét.Giao hàng nhanh nữa.,5,24 thg 11 2022,POS
ok ,5,02 thg 8 2024,POS
"Độ phân giải 1080P rõ nét cho cảnh quay chi tiết,  ",5,1 tuần trước,POS
ok ,5,07 thg 2 2024,POS
chắt lượng tốt ổn định,5,03 thg 3 2023,POS
"hàng đẹp như hình, mọi thứ ổn chỉ có góc quay rất hạn chế, k quay được nhiều mặt   như hãng Yoose",5,31 thg 5 2023,POS
Tuyệt vời ,5,18 thg 4 2024,POS
"Hàng chất lượng cao,  đúng như hình,  cài đặt nhanh,  hình ảnh siêu nét,  sẽ lấy thêm 2 con nữa. ",5,31 thg 10 2020,POS
"HÀNG ĐẸP NGUYÊN SEAL
SHOP ĐÓNG GÓI GIAO HÀNG NHANH
5 SAO
MỌI NGƯỜI NÊN MUA
CHẤT LƯỢNG THÌ PHẢI TEST THÊM MỚI BIẾT",5,08 thg 9 2020,POS
SP tốt,5,30 thg 4 2021,POS
ok ,5,10 thg 9 2023,POS
Hàng chất lượng ,5,19 thg 6 2020,POS
"Giá Cả: tốt
 Kết nối: tốt
 Độ phân giải: Ok
 ",5,04 thg 9 2023,POS
"Độ phân giải 1080P rõ nét cho cảnh quay chi tiết, Giao diện thân thiện với người dùng để dễ dàng vận hành, ",5,3 tuần trước,POS
cầm k đc nét.nhìn tối k đc  sáng.mọi ng mua thì nên chọn máy camera loại tốt hơn  ,5,04 thg 2 2024,NEG
quá ngon,5,09 thg 7 2023,POS
"Gian hàng Lazada.. Fast technology store chuyên phân phối thiết bị âm thanh, phụ kiện công nghệ chính hãng Klipsh, Anker, Soundpeat, Havit, Baseus, Divoom, Mophie, UAG, ACEFAST, SD design...giá tốt nhất thị trường bảo hành lên đến 18 tháng, ship hàng toàn quốc từ 1-3 ngày",5,29 thg 6 2023,NEU
Very good,5,11 thg 8 2020,POS
giao đúng mẫu  ,5,20 thg 9 2023,POS
Đã và đang dùng thử. Thank shop,5,19 thg 7 2020,POS
tốt bb bb bb  gb gb fhn chb vj gjc gj ghj ghj gj vhh ghg ffgj ggrr gv,5,14 thg 7 2023,POS
tôi mua đến cái thứ ba rồi tất cả đều rất ok.nhận hàng rất tốt.đúng như mông đợi.mọi người nên ủng hộ.đánh giá cho 5 sao,5,08 thg 11 2022,POS
"Ok tốt, đã mua cái thứ 1x luôn ròi ",5,22 thg 1 2021,POS
"Giá Cả:
 Kết nối:
 Độ phân giải:
 ",5,15 thg 9 2023,NEU
tốt  ,5,4 tuần trước,POS
Hàng sử dụng tốt **************************************************************,5,24 thg 10 2021,POS
"lắp xong rồi. thu hình rõ nét, cài đặt dễ dàng",5,29 thg 6 2020,POS
"Cam đẹp, giá cả hợp lý",5,21 thg 6 2020,POS
"sản phẩm vừa túi tiền hình ảnh tạm ổn , shop huy tính đáng để anh em quan tâm mua để sử dụng . giáo hàng hơi chậm .",5,30 thg 9 2020,POS
"Địa chỉ: Đường, Chung cư, Thành phố, Quốc gia/Khu vực, Tỉnh, Mã bưu chính",5,22 thg 7 2023,NEU
Tốt ,5,16 thg 9 2020,POS
"Mua hang o day nhieu lan. Rat ok.
Gia re, Van chuyen nhanh, Cham soc khach hang uy tin, Xung dang 5 Sao.",5,15 thg 6 2021,POS
Rất sắc nét!!,5,07 thg 10 2020,POS
sp đóng gói cẩn thận.phụ kiện đầy đủ.còn chất lượng sp sữ dụng time mới biết đc.xử lí và giao hàng bên lazada quá tệ.sp từ gò vấp tphcm ra bến cát bình dương khoản 50km mà đến tận 5 ngày mới giao đến yêu cầu bên lazada xem xét rút kinh nghiệm.về shop thì ok cho 5 sao😁😁,5,19 thg 9 2022,NEG
"camera giá bình dân, dễ cài đặt, ổn trong tầm giá. Đàm thoại 2 chiều tốt, mua thêm 1 cái cho bác hàng xóm nữa  . nhân viên tư vấn nhiệt tình.",5,08 thg 6 2023,POS
Cam nét nha mọi người.giao hàng nhanh sipper thân thiện,5,16 thg 2 2023,POS
"rất tốt, hình ảnh rất đẹp đáng 5 sao
ảnh và video mình ghi trong buổi tối, nếu buổi sáng thì  ánh sáng rất ok",5,29 thg 6 2023,POS
"hàng rất  ok. nguyên seal, mới 100%, chính hãng,như mô tả  . dễ cài đặt ",5,17 thg 7 2024,POS
"Thời gian bảo hành dài cho sự yên tâm, Giao diện thân thiện với người dùng cho việc vận hành dễ dàng, Giao diện thân thiện với người dùng cho việc vận hành dễ dàng,  ",5,07 thg 7 2024,POS
"Sản phẩm tốt ,hình ảnh nhận xu ............................................................................ ",5,26 thg 9 2023,POS
"Giá Cả: tốt 
 Kết nối: ổn định
 Độ phân giải: 2m
……………………………….,,,,,,,,,,,,,,,,,,,,,,,,,,
 ",5,12 thg 9 2023,POS
"hàng nguyên seal, nguyên hộp.",5,13 thg 6 2023,POS
Đúng sp mà giao lâu ghê,5,18 thg 12 2020,NEG
tốt  ,5,22 thg 9 2023,POS
Tốt nên mua,5,13 thg 7 2023,POS
"Club Internacional de Fútbol Miami, known as Inter Miami CF or Inter Miami, is an American professional soccer club based in Fort Lauderdale, Florida. Established in 2018, the club began playing in the Eastern Conference of Major League Soccer during the 2020 season ",5,27 thg 11 2023,POS
"xem rõ,xem được nhiều hướng",5,31 thg 5 2023,NEU
rất tốt OK  ,5,07 thg 12 2023,POS
Hàng rất ok . Rất hài lòng cảm ơn shop rất nhiều . Hứa sẽ ủng hộ tiếp ,5,01 thg 2 2023,POS
"Sản phẩm chất lượng tốt
Giao hàng nhanh chóng
Xứng đáng 5 saooo ",5,31 thg 10 2023,POS
"sản phẩm giống quảng cáo, hình ảnh khá rõ nét.  Tuy nhiên đóng gói sơ sài, không có bao bì chống sốc. ",5,17 thg 9 2023,NEG
Tot ,5,16 thg 2 2024,POS
"hàng đúng như quảng cáo giao hàng nhanh , chất lượng tốt nên mua

 ",5,21 thg 8 2024,POS
Hàng dong goi can than .rat ok ,5,14 thg 5 2021,POS
Quá tốt đã mua cái thứ 1x luôn ròi,5,22 thg 1 2021,POS
"lần thứ 3 mua ở shop,chất lượng phải nói tuyệt vời",5,24 thg 4 2021,POS
"Shop giao hàng khá nhanh,đóng gói cẩn thận hàng ezviz này xài tốt moi người nên mua........",5,28 thg 10 2022,POS
ok ,5,01 thg 4 2024,POS
"Giá Cả:  tốt
 Kết nối:  nhanh
Giao hàng nhanh.đóng gói hơi sơ sài với đồ điện tử.shop nên chèn bọc chống sóc cho cam ở trong hộp rộng như vậy nhé ",5,18 thg 6 2024,NEU
"Độ phân giải 1080P rõ nét cho cảnh quay chi tiết, Thời gian bảo hành dài để yên tâm,  ",5,21 thg 8 2024,POS
hàng ok đóng gói cẩn thận giao hàng tương đối nhanh shop cẩn thận để cả thông tin liên hệ để tư vấn. ,5,11 thg 6 2021,POS
"Giá Cả:ok
 Kết nối:ok
 Độ phân giải:ok
 ",5,08 thg 5 2024,POS
Thanks shop.,5,24 thg 11 2022,POS
ok,5,17 thg 9 2020,POS
ngon bổ rẻ chất lượng. cảm ơn shop👍,5,17 thg 10 2020,POS
"ngoài hinh, chức năng tốt vs tầm giá, để coi hoạt động ổn định lâu dài hay ko cái đã ",5,21 thg 3 2024,POS
"Giá Cả:  vừa phải
 Kết nối:  nhanh
 Độ phân giải:  Hình ảnh rõ
Cám ơn Shop giao nhanh, hàng nguyên đai nguyên kiện, đầy đủ, thao tác dễ dàng, kết nối tốt, hình ảnh rõ. Hy vọng độ bền cao. ",5,18 thg 2 2024,POS
Hình ảnh chưa sắc nét lắm,5,13 thg 6 2023,NEG
sản phẩm Kết nối nhanh.,5,21 thg 2 2022,POS
Ok ,5,03 thg 12 2023,POS
Hàng ok. ,5,10 thg 8 2020,POS
"camera xài ổn, thu nhận hình ảnh rõ nét, đàm thoại 2 chiều cũng ok, giá lại rẻ hơn ở cellphones và ftp shop, mọi người có nhu cầu nên mua, tuy nhiên nếu ko biết lắp đặt thì tốn thêm 200k để kêu thợ tới lắp đặt.Săn sale được giá rất ưu đãi  ",5,21 thg 9 2023,POS
"sản phẩm tốt, độ sắc nét hình ảnh tốt, vừa với giá tiền đánh giá 5 sao",5,03 thg 3 2021,POS
"Khi thay nhớt xe máy, thường người sử dụng không biết nên thay nhớt bao nhiêu ml cho xe của mình? Cho nên việc thay nhớt động cơ và nhớt láp cho xe máy bao nhiêu ml là đủ và đúng loại nhớt là rất quan trọng, vì khi thay thiếu nhớt hay thừa nhớt đều không tốt cho động cơ.",5,20 thg 6 2023,NEU
"Giá Cả:
 Kết nối:
 Độ phân giải:
 ",5,10 thg 9 2023,NEU
"sản phẩm đúng mô tả, giao hàng nhanh, giá hợp lý cho nhu cầu giám sát đơn giản.",5,16 thg 8 2023,POS
hàng ok mua rẻ newseal đầy đủ quà tặng không có yêu cầu gì thêm,5,29 thg 6 2023,POS
"chưa thử,",5,16 thg 12 2020,NEU
giá cả hợp lý. chất lượng hình ảnh OK. hài lòng sản phẩm,5,23 thg 1 2021,POS
mua thử 2 cái xài thấy rất tốt. shop nhiệt tình. chỉ có điều là nhà vận chuyển quá chậm.,5,10 thg 10 2020,POS
Tốt nên mua,5,15 thg 10 2020,POS
Chất lượng tuyệt vòiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,5,06 thg 7 2023,POS
ok như lần trước.,5,24 thg 10 2022,POS
C6N hình ảnh đẹp nét rõ có thể tùy chỉnh làm việc ổn định mn lên mua .,5,13 thg 1 2021,POS
ok  ,5,05 thg 9 2023,POS
"Đã nhận hàng, sản phẩm tốt ",5,21 thg 8 2023,POS
tốt,5,27 thg 8 2020,POS
Mình đã mua 2 cái c6n. Cám ơn shop đã nhiệt tình gọi điện cho mình hướng dẫn cài đăt. CSKH rất chu đáo. Hàng chính hãng giá rất rẻ . Không shop nào rẻ hơn Ủng hộ shop ngàn sao lung linh. Thật sự mình đã được làm Thượng Đế rồi đấy nhé. ,5,18 thg 6 2020,POS
Giao hàng nhanh lẹ.đóng gói cẩn thận rất hài lòng.hàng rất ok ,5,31 thg 10 2020,POS
"Rất hài lòng, bao bì cẩn thận, cam sử dụng tốt, giờ chỉ còn chờ thời gian có bền hay ko. Cám ơn shop",5,06 thg 11 2021,POS
"Camera chất lượng, giá phải chăng!",5,11 thg 8 2020,POS
"Nhận hàng nguyên seal, đầy đủ phụ kiện như đơn hàng. Chất lượng chưa dùng chưa biết nhưng vẫn cho 5 sao shop nhé. Chúc shop thành công.",5,12 thg 6 2023,POS
"hàng dùng rất tốt, sẽ ủng hộ shop lần mua tiếp
đánh giá shop chất lượng cho 5*",5,10 thg 5 2021,POS
Ok ,5,06 thg 9 2023,POS
Ok,5,01 thg 7 2023,POS
"Đã mua 2-3 lần của shop. Sử dụng tốt, giao hàng nhanh",5,08 thg 7 2022,POS
nhận hàng đúng . chất lượng tốt sẽ ủng hộ tiếp. shop tư vấn nhiệt tình,5,26 thg 6 2023,POS
Ưng cai bụng lắm nhe moi người. Bền sẽ Ung hô shop thêm 2 cai nữa,5,26 thg 7 2023,POS
Mình hài lòng sản phẩm đung như mô tả..giao hàng nhiệt tình..mình cho 5sao,5,20 thg 6 2023,POS
rat tot oke ,5,20 thg 9 2023,POS
ggshhfuhfthhgffdggfffgygfftgfftyffggfggffygffgfffgffuijhffugfrhffggffgffygfghgfhh,5,17 thg 10 2022,POS
"Sp OK 
Giao hàng nhanh 
Uchc",5,10 thg 7 2021,POS
"đã mua tổng cộng 4 cái, hình ảnh sắc nét, về lâu dài chưa biết chất lượng thế nào, tạm thời cho 5 sao.",5,16 thg 8 2020,POS
ok. tốt,5,08 thg 5 2021,POS
không xoay theo 360 như quảng cáo,5,18 thg 5 2021,NEU
"Giá Cả:phù hợp,rẻ
 Kết nối:wifi nhanh ổn định dễ dàng 
 Độ phân giải:hình ảnh cũng đc ko sắc nét lắm nhưng giá cả như vậy khá là tốt  ",5,02 thg 9 2023,POS
rất đáng mua các bạn nhé mình mua 5 cái rồi chạy rất ổn định độ nét cao shop làm ăn uy tín . shop gửi cho mình 4 cái nữa kèm thẻ nhớ 32 g.lấy thêm 1 thẻ rời bên ngoài nữa là 5 . vẫn đc cũ có gì shops alo cho mình ngay nhé,5,13 thg 10 2020,POS
Lắp đặt chạy thử tạm thời thấy OK,5,17 thg 5 2021,POS
Rất tốt ,5,22 thg 1 2024,POS
mua về hàng bị lôi sop rất nhiệt tình hướng dẫn và bảo hanh,5,01 thg 4 2021,NEG
OK chất lượng hình ảnh OK  ,5,01 thg 3 2024,POS
Hình ảnh sắc nét. Hài lòng.,5,07 thg 8 2020,POS
"Giá Cả:ok
 Kết nối:ok
 Độ phân giải:1080p full hd.
camera rẻ ổn. vỏ móp ",5,07 thg 3 2024,POS
Rỏ nét sẻ ủng hộ nữa,5,23 thg 6 2020,POS
"Đóng gói cẩn thận, hàng chính hãng, giao hàng rất nhanh.",5,20 thg 8 2020,POS
Ok,5,31 thg 5 2022,POS
"Giá Cả:hợp lý với giá thành
 Kết nối:tạm ổn 
 Độ phân giải:
nhìn chung ban ngày thì tạm còn đêm đen trắng không rõ lắm  ",5,08 thg 10 2023,POS
"mình mới đặt hàng hôm 4/08 thì ngày hôm sau đã nhận được hàng.
phải nói là hàng giao nhanh thật.
nhận hàng mình thấy gói hàng quá ok.
còn về chất lượng thì mới dùng chưa đánh giá hết được
cho 5 sao shop.
hàng ok sẽ ủng hộ tiếp tục.",5,05 thg 8 2022,POS
sản phẩm đóng gói cẩn thận nhân viên giao hàng nhiệt tình vui vẻ  ,5,09 thg 5 2024,POS
xốp dong gói cẩn thận hàng xài thử rất tốt.luon ủng hộ xốp hết mình . chúc xốp luôn làm ăn càng ngày càng phát đạt,5,14 thg 5 2021,POS
Nhận hàng nguyên siu ,5,19 thg 6 2022,POS
cam chính hang wifi ôn đinh mình đã đặt hàng ơ shop rât nhiêu shop rất uy tín ,5,06 thg 7 2020,POS
"đóng gói kỹ, giao hàng nhanh, sản phẩm tốt nguyên hộp",5,24 thg 8 2020,POS
"Camera giá rẻ, chát lượng tốt, săn dc giả siêu tốt, không có gì để chê ",5,20 thg 6 2024,POS
tuyệt,5,30 thg 7 2020,POS
"Phù hợp cho cả sử dụng trong nhà và ngoài trời, Thiết kế không dây để dễ dàng lắp đặt, Kết cấu chất lượng cao để bền lâu,  ",5,4 tuần trước,POS
"Truy cập từ xa tiện lợi qua WiFi, Độ phân giải 1080P rõ nét cho cảnh quay chi tiết, Kết cấu chất lượng cao để bền lâu, Phù hợp cho cả sử dụng trong nhà và ngoài trời,  ",5,16 thg 9 2024,POS
"camera sắc nét
xoay 360 độ
trước mắt là tạm ổn sử dụng sau sẽ đánh giá tiếp ",5,19 thg 11 2023,POS
đóng gói đẹp hàng mới chính hãng,5,01 thg 6 2020,POS
hàng chất lượng tốt dễ dàng cài đặt,5,16 thg 3 2023,POS
Tốt ,5,11 thg 3 2024,POS
"sản phẩm ok, đóng gói cẩn thận, hình ảnh sắc nét",5,12 thg 11 2020,POS
rất hài lòng. đã mua lần thứ 2.,5,16 thg 10 2020,POS
"Giao hàng nhanh,chất lượng tuyệt vời",5,06 thg 3 2022,POS
"Giao hàng nhanh, xem rõ, dễ cài đặt. Dùng rất tốt, rõ nét. like shop. 👍👍👍",5,23 thg 7 2020,POS
"nhận hàng nguyên đai nguyên kiện,mẫu mã được,mong chất lượng tốt ",5,15 thg 4 2024,POS
đã mua lần 2. ngon,5,10 thg 4 2021,POS
"Hàng nguyên seal, đóng gói tốt, setup đơn giản, rất hài lòng.",5,20 thg 8 2020,POS
Ok ok ok,5,11 thg 12 2020,POS
sản phẩm ok ,5,12 thg 3 2024,POS
"đóng gói giao hàng nhanh, sẽ ủng hộ shop tiếp ",5,12 thg 9 2023,POS
"Camera tốt, dễ sử dụng, giá hợp lý……………………………………………………….. ",5,2 tuần trước,POS
"Đóng gói chắc chắn, đầy đủ hàng. Giao hàng nhanh. Cam hơi tối, chưa rõ nét lắm.",5,09 thg 7 2023,POS
"Giá Cả:
 Kết nối:tốt
 Độ phân giải:sắc nét
mọi thứ rất ổn! uy tín!
 ",5,31 thg 8 2023,POS
vậy cũng nói hàng chính hãng về xài đi xa cách xa có 500 m xài không được không có vô coi được làm tốn tiền không chán cái shop này ghê giờ trả hàng không biết có lấy hay không nữa,5,26 thg 8 2022,NEG
Sản phẩm OK,5,16 thg 10 2020,POS
"Giá Cả:tốt
đã nhận đúng sản phẩm đặt hàng.hàng còn nguyên seal nên để vậy cho đẹp.mốt mở đánh giá lại
 Kết nối:chưa biết
 Độ phân giải:2mp ",5,16 thg 6 2024,POS
Mọi thứ OK lắm ạ cam ơn shop ,5,05 thg 8 2021,POS
Cam dùng ổn kết nối nhanh mắt cam rõ nét ,5,22 thg 9 2020,POS
ok rất ổn dễ sử dụng  ,5,29 thg 9 2023,POS
