,Rating,Review_Date,Release_Date,Review_clean,Sentiment,Genres
10,9.0,24 December 2022,"December 23, 2022 (United States)",incredible performances several amazing scenes but doesnt come together for me probably better after several viewings which would be helpful to take in some more of the intricate symbolism and some more nuance that i definitely missed however this movie nails its unique style as a gruesome fairy tale of sorts sadly i didnt feel damien chazelles usual tension and emotion even in his intense and unique ending im really hoping ill find whatever i missed in my next viewing i really want to love it sorry for this compliment sandwich this is coming straight off the top of my head,POSITIVE,Comedy
11,6.0,4 February 2023,"December 23, 2022 (United States)",its hollywood the silent movie era is having a party of epic debauchery manny torres diego calva is the mexican fixer servant doing all the dirty jobs jack conrad brad pitt is the big movie star nellie laroy margot robbie is the flamboyant nobody who fakes it until she makes it she makes it and then the silent era ends everybody works to master the new sound era this is not an appealing start i dont know whats happening with every oscar bait movie which insists on an overly broad comedic scene with bodily functions the elephant is completely overboard i wouldnt open with that scene its an indication of whats to come this movie is desperately trying too hard i guess were supposed to root for margot robbie but i dont i find her abrasive and not always appealing she does find her tragic heartbreaks and that helps her character this would work better if it concentrated more on brad pitts character he has some of best heartfelt scenes during his climax manny torres is probably the other main character with a big character arc i like the character but the performance is too stoic i need a different performance from him besides brad pitts character arc i love the general premise of redoing singin in the rain its a great premise that needs a little foreshadowing and less outrageousness it could be a simple modern day revival with admiring fans watching singin in the rain to open this movie damien chazelle is just trying too hard it hits a few false notes and the whole enterprise stumbles it always gets back up with some very compelling scenes for example the first sound shot is fun i dont like how it ends damien keeps pushing the comedy one step too far i do appreciate the overall premise and the ambition of the work,NEGATIVE,Comedy
12,4.0,25 December 2022,"December 23, 2022 (United States)",my main takeaway when i left the theater this evening after watching this film was that it was far too long and had probably one storyline too many to make this movie fly but instead after the first act it drags and drags and drags the funny thing is the best moments of this film are within the first hour the less cohesive and more chaotic the film was the more exciting it felt after that point though the film falls apart the plotlines stray and the film has maybe of the crazy energy that the first third had it attempts to try and regain that energy in the finale but doesnt quite capture what came before it it turns from debauchery to horror and it didnt gel well for me felt like the tone contradicted itself from where it began the acting on the other hand is fantastic robbie and pitt are electric and the way diego calva can emote without saying anything is brilliant i just wished the script and direction from la la land writerdirector damien chazelle was as good as the acting sometimes the film felt like i was watching four films at the same time each of these plotlines could have had their own movies and seeing them all jumbled together here felt self indulgent and exhausting by the end of it only one of the storylines have any sort of ending that makes it feel justified in its telling afterward when the credits start to roll youre just sat there with no feeling for what you just witnessed for a little over three hours overall i only recommend for people who dont mind the three hour runtime but keep in mind that the films plot goes absolutely nowhere and although it might be a fun trip at times it is a rather pointless one talking pictures out of,NEGATIVE,Comedy
13,8.0,23 December 2022,"December 23, 2022 (United States)",i recently read a biography of silent film it girl actress clara bow margot robbie looking more like a grace kelly from a few decades later rather than a bow plays a character highly inspired from her blue collar new jersey upbringing to a father following her to hollywood and making money off her image even opening a restaurant based on one of her famous movies a gambling addiction to an offcolor joke at a hoity toity part these are all inspired by bow and her life the film is great as a love letter to bow warts and all played magnificently by margot robbie and just to the magic film can have on its audience transcending time it visually details the difficult transition had on the film industry with the transition from silent films to talkies showcasing actors producers and musical performers adjusting to it all brad pitt gives a great performance as a douglas fairbanks like silent star edging toward irrelevancy but newcomer diego calva really steals a large part of the movie with his powerful performance great music from justin horiwitz who reunited with his la la landwhiplash director damien chazelle with excellent cinematography and performances however the film was a bit much at time consistently frantic lots of characters melting down and screaming andor stressful with excesses abounding it was a little much at times certain scenes such as an elephant having explosive diarrhea on a man would have been better not seen so graphically solid film,POSITIVE,Comedy
14,6.0,13 March 2023,"December 23, 2022 (United States)",the movie is really vivid at times peculiarly or perhaps deliberately the more vivid the less rich the end result is the glitter and madness of the backstage shines most brightly when they still film the blackandwhite silent pictures and so is the movie pace and coherency its a sharply cut but consistent narrative for roughly the first half of the movie and then is starts leaping years ahead and the narrative loses much of its meaning and focus the last part before the ending brings madness anew but surprisingly a completely different kind as if taken from another story for no particular reason those few last characters add nothing to the fact that they were already mentioned yet the scene goes on and on and then the whole message is unclear from the beginning and the epilogue and from a few dialogues in between it seems as if its an ode to the cinema something grand and timeless and bigger than you and me but most of what happens inside is about greedy and soulcrushing and disposable nature of the whole showbiz where nobodys a victim but everyones trying to get what they want at any cost so its a grand spectacle half of the time and a frenetic misanthropy the other half perhaps still worth watching though,POSITIVE,Comedy
15,8.0,7 January 2023,"December 23, 2022 (United States)",babylon had some moments that were better than every other movie ive seen this year they just needed to cut it down about minutes its all about hollywood and the beauty of filmmaking and it gets a little too big for its britches in some places leading to some unfortunate selfseriousness the whole thing is apparently a tragic rewrite of singin in the rain and the technical accomplishment on display in this film is astounding the first hour is alltime great truly deeply moving as well as visually astounding the question when walking out of the theater is whether the sublime moments outweigh the unnecessary length its crazy for some random guy to give notes to maybe the most successful yearold director in history but who cares he needs a trusted editor who hell let make some cuts all the pieces of a classic are there but unfortunately the fluff distracts we need like a studio cut for this movie lol,POSITIVE,Comedy
16,7.0,26 December 2022,"December 23, 2022 (United States)",quentin tarantino once said hacks dont go that far there are some filmmakers that have a creative confidence that delivers a film that many people will find repulsive but some will find exhilarating because if its creative audacity yes this film is too long but there is so much talent and so much detail to admire in every frame of this film diego calva has one scene where you feel so sorry for this man you wanna cry for him the moment when brad pitt is kissing a young woman before a perfect sunset and a butterfly lands on a shoulder is the moment that encapsulates exhilarating fun of filmmaking,POSITIVE,Comedy
17,1.0,9 January 2023,"December 23, 2022 (United States)",babylon is cinematic marvel that damien chazelle is a messy dazzling epic masterpiece that film hasnt yet accepted or had before damien chazelle has called babylon a hate letter to hollywood and a love letter to movies but his messy dazzling epic doesnt support that simplistic idea set in the early days of cinema when talking pictures were a jawdropping phenomenon and hollywood was still being created babylon suggests a deeper reality the film industrys raw selfdestructive narcissistic impulses and its glorious magical results have always been opposite parts of the same whole chazelles ambitions are huge babylon is full of remarkable set pieces with richly drawn characters music dancing love and betrayal the films strengths more than make up for its serious flaws including too many endings and a wrongheaded reliance on singin in the rain as a touchstone but if babylon makes you groan occasionally there are many more times long exhilarating stretches that are mesmerising in one of the films multiple endings which leaps ahead to a major character sits in a cinema tearfully watching singin in the rain that enamouredofmovies scene hasnt been fresh since sullivans travels in not to mention cinema paradiso in and this years empire of light the fact that the scene can be viewed as a homage to all those films doesnt make it less cliched and a montage of other movies through history is a bravura but needless coda at its best chazelles film is a cinematic marvel evidence enough that movies are magical as it sweeps us into the beautiful terrible world we recognise as hollywood even now the cast up and down babylon is amazing and almost eerily in sync with my own tastes actors i deeply love like taylor nichols and ethan suplee show up ohsobriefly as if casting director francine maisler had thumbed through my own mental rolodex and said to herself ah heres another face sonny would like to see this is perhaps another reason i found myself drawn in by babylons excess i just liked spending time with almost everyone up on that big beautiful screen i fell in love with the cast and the story believing babylon to be over thus missing the last few of its minutes this was itself a fitting almost serendipitous way to end the movie audiences come and go they are as ephemeral and everchanging as the names on the marquee the darkened theater filled with flickering light thats eternal everlasting deathless the actors and the audiences alike come and go but the show goes on forever,POSITIVE,Comedy
18,9.0,25 December 2022,"December 23, 2022 (United States)",reality blows we want something more we want a new high or something to chase this movie is built around escapism the same escapism that draws people to watching movies draws people into making movies that same escapism starts to flee when we are no longer entertained we then want something more this movie is built around the never ending chase for more in life only to make us ask if it even matters its fairly existential underneath it all it begs the question of when entertainment becomes evil when we lose site of humans and see them only as objects for our entertainment there is graphic content that people will cling to and badmouth the movie over but if you are someone who loves independent cinema this has the flavor of an independent film with a massive budget im grateful it got made but there is no way this will do well in the box office it has cult classic written all over it years from now,POSITIVE,Comedy
19,6.0,29 January 2023,"December 23, 2022 (United States)",the film starts on the wheel caps we quickly get to the massive party that the film trailers promised us and its masterfully shot with long takes masterfully paired music and explosive character intros the first discussion between the two main characters funnily reveals the absurdity of the s hollywood but then the movie never recovers to such heights save perhaps for the sunsetchasing sequence and the scary underground party moment amazing bit by tobey maguire the story is weak the characters are poorly developed even the main ones as a spectator you feel like youre hovering above the ensemble cast without ever meeting them each character is struggling and fighting against prejudice in its own way being a woman being black being an immigrant becoming obsolete but the depiction of those struggles feel botched and cliché and we never believe in the love story between manny and nelly once or the twice does the dialogue elicit a laugh but given the material this could have been way more fun finally the ending stretches on forever by this point we get that its an ode to cinema itself but the director drives his point so heavyhandedly that he undermines his own argument a completely useless retrospective of movies from the next years were even served excerpt from the matrix and avatar is inserted towards the end at which point we felt it was over and ready to leave but no theres another min of the main character crying and flashbacks to the main party almost to remind us why we came to watch this in the first place because we got tricked by some dishonest movie trailers oh hollywood always so full of contradictions,NEGATIVE,Comedy
20,4.0,20 July 2023,"December 23, 2022 (United States)",it is a higenrgy assault on the senses there is always something happening visually loud music or loud screaming or loud animals aor something happening it is overthetop bombastic and rarely boring the problem rollercoasters are fun but they are fun because they last about five minutes would you want to ride a rollercoaster for an hour or two hoursno you would not and that is the problem with this movie it is throwing so much at you and it does not let up long enough for you to digest the last scene if there was a cohesive story i missed it if there was character development it got lost with the direction and editing if you are just looking for soemthing to watch and get lost in then this works otherwise it is less of a movie and more of a collection of wild scenes with famous actors just slammed together,NEGATIVE,Comedy
21,8.0,19 January 2023,"December 23, 2022 (United States)",damien chazelles latest opus magnum presents an overwhelming sometimes indigestible inside look into the roaring s of hollywood starting with dynamic and powerful montages of hollywood parties drifting into every kind of excess you can think of masterfully choreographed in long exhilarating takes he shows his various immense talents which i personally admire since i saw whiplash in an almost orson welles kind of way shifting from wild orgiastic sequences into surreal absurdity drastic comedy naive sentimentality tragic moments jazzy musical sequences change into contemplative dialogue fe jean smart and brad pitt playing a touching scene together but he never finds a focus about what he really wants to tell maybe less would have been more more focus on a stringent story for example chazelle gives us way too much of everything but yet too little in the end for a few sequences he looks behind the facades revealing the immorality and brutality the inhumanity the racism the ignorance and these moments are by far the best in his toxic hollywood hommage which is not as bad as some critics say but not as good as i personally expected it brad pitt gives one of the best and most nuanced performances in his career margot robbie totally delivers herself into her powerhouse part and diego calva adds a sympathetic and touching presence to a devoted ensemble,POSITIVE,Comedy
22,6.0,1 February 2023,"December 23, 2022 (United States)",far too long for the reward that it withholds although its fearless and adventurous quite daring and quite bold overflowing with depravity full of wicked immorality indulgence and degeneracy quite an orgy that unfolds the roaring twenties and roaring doesnt quite capture the excesses presented here with a film that paints quite a colourful picture of the world of silent movies and their transition to the planet of sound margot robbie smashes it out of the park as well as producing voluminous amounts of vomit however take away the spectacle and youre left with an often told tale youve seen many times before and an eager anticipation to watch singin in the rain for the nth time a revisit your unlikely to make quite as often with this as once is more than enough,POSITIVE,Comedy
23,1.0,29 December 2022,"December 23, 2022 (United States)",i love the cinema babylon is a spectacular epic film truly a masterpiece i think this movie deserves the oscar for best picture of the year it is a remarkable story following several characters living the dream and the starlight of hollywood chazelle has created a movie that is a love letter to hollywood not because of depraved parties or preventing talented minorities from becoming stars but from reflecting how far hollywood has become i was amazed by the oscarworthy performances from margot robbie she is fantastic and deserves a nomination brad pitt is excellent as well and the newcomer mexican actor diego calva wow perfectly carried the whole movie he had great chemistry with robbie jean smart was fantastic specifically the cameo with brad pitt and tobey maguire was hilarious three hours of such a spectacle from beginning to end i loved the cinematography and the musical score is out of this world you feel you want to dance and sing the story was great and nostalgic come on people i can see it was harsh for some prunes not to like the movie because of the sex and drug content but it is far from being the objective i loved the cameos of the movie sets that show the evolution from silent to talkies if you love movies as much as i do you will love babylon and finally i want to tell you that the ending is epic i dont want to spoil telling you about it please see it on the big screen please do not read the low ratings of critics they are full of it,POSITIVE,Comedy
24,6.0,4 February 2023,"December 23, 2022 (United States)",simply too long there is not enough content to justify the hours screen time and thats a big issue it hurts the flow of the story the opening half hour of the movie for example fairly entertaining but too long how necessary was the cop scene opening could be done in mins not same logic applies to other scenes too this movie should have been hmins max structure issues there are main characters and each one of them has a separate story and takes on a unique series of actions and that makes it hard to connect sequential scenes properly movie jumps from this characters actions to that characters actions and the structure seems loose to me tarantino faced the same issue in once upon a time in hollywood and he pulled it off better in my opinion,NEGATIVE,Comedy
25,6.0,28 December 2022,"December 23, 2022 (United States)",this film is many things it evokes memories of other films and books this film is moulin rouge and the great gatsby were those films to be directed by paul thomas anderson that may sound great but here it isnt it reminds me so much of nightmare alley from the holiday season last year a beautiful and yet bloated overly long period piece directed by a highly reputable director with fantastic star wattage it also reminds me of this years amsterdam and again for those exact same reasons but above all of those other films or possibly below what this film surprisingly if not shockingly has in abundance in comparison to any of those others or even the directors previously beloved works of whiplash and la la land what this film has is beaucoup and i do mean beaucoup scenes of grotesque vulgarity and unbelievable amounts of foul language none of these things bother me in movies if it serves a purpose or is to be expected given the subject or scene the gross nastiness the bodily fluids the constant bad words in the dialogue especially in the first half hour it seems as though the filmmaker was purposely trying to stun his audience and this seems his only purpose i rarely clutch the pearls with movies my movie date looked at me fifteen minutes into this horrendously long movie and said what have you brought me to its a long sit the rest of the way im sure people around the world have simply walked out of the theater having been drawn in my the actors on the marquee and then quickly repelled by the filmmakers choices and lack of selfcontrol when it came to editing or trimming down the run time sadly amazing cinematography alone does not make a movie margot robbie gorgeous as she always is doesnt fit the time period shes way too athletically sculpted and her hair doesnt fit the era at all things like that will drive me crazy for a whole movie brad pitt is always great here he looks and plays his part to perfection hes a more extreme and certainly more tragic version of peter o toole in my favorite year the lone true bright light of this film is its ultimate protagonist manny torres played by diego calva he is incredible and captivating in every scene this is a tale of debauchery degeneracy and destruction you must ask yourself before purchasing a ticket can your eyes and ears handle these scenes and can your butt and bladder handle the plus hours of run time,POSITIVE,Comedy
26,1.0,21 February 2023,"December 23, 2022 (United States)",what mindless junk this is unlikeable characters in a long much too long dreary and trashy movie but not at all in a fun way not one character has any likable qualities and by the end i was hoping a number of them would get killed off fortunately a few do best scene is when jean smarts character tells the character brad pitt plays that his days are numbered and based on pitts very lame and listless performance in this film she is really telling him that his days are numbered what happened to him he sleepwalks through this like hes bored and just doing it for the bucks what happened to everyone associated with this production the movie starts out with a scatological extravaganza party scene and ends with an amateurish psychedelic salute to the movies please someone take this period of the history of cinema and the film making business in this period and make an intelligent and raunchy if need be and entertaining movie,NEGATIVE,Comedy
