,Unnamed: 0,Rating,Review_Date,Review,Release_Date,Review_clean,Sentiment
13,13,10.0,14 October 2013,"Having watched Dexter right to the bitter end I have to say I won't miss it at all. What was a better than average series, stylishly directed with a great cast was forgiven for being a bit repetitive. It should have ended 3 seasons ago, this last season was pathetic, it was as though the writers had been sacked, some new ones brought in and told to keep it ""ticking over"" and told to end it all in the last 2 episodes. for a show built on secrets very few were revealed, this went out with a pathetic whimper. The penultimate series built to a real dramatic high that promised so much for the final series, instead of keeping this up and pushing the characters to new extremes it was as if they were all too tired to be bothered, every character acted as if they were ready for a retirement home.","October 1, 2006 (United States)",having watched dexter right to the bitter end i have to say i wont miss it at all what was a better than average series stylishly directed with a great cast was forgiven for being a bit repetitive it should have ended seasons ago this last season was pathetic it was as though the writers had been sacked some new ones brought in and told to keep it ticking over and told to end it all in the last episodes for a show built on secrets very few were revealed this went out with a pathetic whimper the penultimate series built to a real dramatic high that promised so much for the final series instead of keeping this up and pushing the characters to new extremes it was as if they were all too tired to be bothered every character acted as if they were ready for a retirement home,NEGATIVE
14,14,10.0,11 December 2020,"This is undoubtedly, the best ever TV Series I've watched. So addictive, thrilling and entertaining. No boredom, super-fast and it'll glued you to the screen just from the 1st minutes of the 1st episode.","October 1, 2006 (United States)",this is undoubtedly the best ever tv series ive watched so addictive thrilling and entertaining no boredom superfast and itll glued you to the screen just from the st minutes of the st episode,POSITIVE
15,15,8.0,13 November 2006,"Although I am not a regular proponent of serial television shows, the eclectic, in-depth storyline and character development in Dexter are far beyond what I expected from Showtime or any network other than HBO. Dexter is a unique insight into the mind of a serial killer protected by his occupation as well as the lessons derived from his father's teachings. By having a resounding premise of catching a notorious serial killer while trying to conceal his own identity, Dexter enters each week with a new sociological dilemma as well as a new criminal to dispatch. What is best about Dexter is his own personal facade of trying to be normal. While other characters in the show are obviously dysfunctional, the audience are privileged to see the flaws of Dexter while people within his own world cannot. Darkly humorous, well-paced, and morbidly addictive Dexter is the best show of 2006, without a doubt.","October 1, 2006 (United States)",although i am not a regular proponent of serial television shows the eclectic indepth storyline and character development in dexter are far beyond what i expected from showtime or any network other than hbo dexter is a unique insight into the mind of a serial killer protected by his occupation as well as the lessons derived from his fathers teachings by having a resounding premise of catching a notorious serial killer while trying to conceal his own identity dexter enters each week with a new sociological dilemma as well as a new criminal to dispatch what is best about dexter is his own personal facade of trying to be normal while other characters in the show are obviously dysfunctional the audience are privileged to see the flaws of dexter while people within his own world cannot darkly humorous wellpaced and morbidly addictive dexter is the best show of without a doubt,POSITIVE
16,16,10.0,20 July 2023,"In the realm of cinematography and scriptwriting, it is advised to limit character narration allowing actions, conversations, and scenes to speak for themselves. However, if there exists an exception, and it goes by the name, Dexter!

From the start, I found myself captivated by Dexter's character - a dark, introverted individual. The strength of character development was evident, bolstered by impeccable casting and an engaging, crime-filled storyline.

Seasons 1 and 2 stood out exceptionally, earning a commendable rating of 9/10. However, the show's quality began to wane afterward. The introduction of new characters and excessive drama weighed down what was once a classic series. Despite my love for the character, I sensed a gradual decline in its charm, including that of Debra.

The writing and direction were solid, yet Dexter himself stood as the towering centerpiece as his portrayal of dark humor remained a standout aspect. His narration throughout the episodes was a unique perspective where we learnt how he perceived things, people, and crime; it was utterly captivating.

I recommend this series, but I urge viewers to approach it at their own pace and choose the number of seasons to indulge in. However, I must stress that the first two seasons are a must-watch and should not be missed.","October 1, 2006 (United States)",in the realm of cinematography and scriptwriting it is advised to limit character narration allowing actions conversations and scenes to speak for themselves however if there exists an exception and it goes by the name dexter from the start i found myself captivated by dexters character a dark introverted individual the strength of character development was evident bolstered by impeccable casting and an engaging crimefilled storyline seasons and stood out exceptionally earning a commendable rating of however the shows quality began to wane afterward the introduction of new characters and excessive drama weighed down what was once a classic series despite my love for the character i sensed a gradual decline in its charm including that of debra the writing and direction were solid yet dexter himself stood as the towering centerpiece as his portrayal of dark humor remained a standout aspect his narration throughout the episodes was a unique perspective where we learnt how he perceived things people and crime it was utterly captivating i recommend this series but i urge viewers to approach it at their own pace and choose the number of seasons to indulge in however i must stress that the first two seasons are a mustwatch and should not be missed,POSITIVE
17,17,10.0,27 September 2006,"HBO Actors, HBO Directors, HBO Writers, and Showtime's willingness to take risks that HBO might not see as profitable these days (Carnivale + Deadwood R.I.P.) make for a killer combination in ""Dexter,"" the new Sho Comedy/Drama about a Serial Killer Killing Serial Killer (you read right). In my opinion, Showtime has always had a hard time producing an original series that's truly original and good, so it's incredibly refreshing to see the network pull such a ""Hail Mary"" move and come out on top. ""Dexter"" is, without spoiling anything, an excellent vehicle for Michael C. Hall, and explores the inner monologue of a Serial Killer in a way that has never been approached before without seeming too predictable or hokey. Watch it and you will not be disappointed. You'll even want to watch the next episode, which says a lot considering the network. I just hope they don't screw it up.","October 1, 2006 (United States)",hbo actors hbo directors hbo writers and showtimes willingness to take risks that hbo might not see as profitable these days carnivale deadwood rip make for a killer combination in dexter the new sho comedydrama about a serial killer killing serial killer you read right in my opinion showtime has always had a hard time producing an original series thats truly original and good so its incredibly refreshing to see the network pull such a hail mary move and come out on top dexter is without spoiling anything an excellent vehicle for michael c hall and explores the inner monologue of a serial killer in a way that has never been approached before without seeming too predictable or hokey watch it and you will not be disappointed youll even want to watch the next episode which says a lot considering the network i just hope they dont screw it up,POSITIVE
18,18,10.0,14 October 2020,New season 2021 confirmed. They say its limited. Let's pray otherwise. I'm so excited!!!,"October 1, 2006 (United States)",new season confirmed they say its limited lets pray otherwise im so excited,POSITIVE
19,19,7.0,27 December 2020,"Over the past couple of years I have gone through some of TV's most followed series of recent years (Breaking Bad, Lost, Fargo, etc.). I've LOVED it: the great storylines, character progression, scenes that make your jaw literally drop. That being said, the TV series Dexter is my favorite, and it's not close. Never have I been so emotionally attached to something on the television. My mind literally correlates memories and relationships made during that time to where I was at in the series at the time. I finished the show in 4 months, and let me tell ya, it was on my mind the entire time, throughout the entirety of the day. I loathed daily responsibilities that took away Dexter's screen time (very unhealthy looking back, not that I could help it). One year after finishing the show, Dexter still crosses mind on a regular basis (one example: me writing this review at nearly 3am in the morning lol). And oh my am I looking forward to the reboot next fall!

One request: please please please do not be turned off by all of the negative reviews about its ""tragic"" ending!! Everyone wanted their own perfect ending (impossible), but what the producers put together is perfectly on brand with the 8-season storyline that precedes it. I have to believe true Dexter fans understand this!","October 1, 2006 (United States)",over the past couple of years i have gone through some of tvs most followed series of recent years breaking bad lost fargo etc ive loved it the great storylines character progression scenes that make your jaw literally drop that being said the tv series dexter is my favorite and its not close never have i been so emotionally attached to something on the television my mind literally correlates memories and relationships made during that time to where i was at in the series at the time i finished the show in months and let me tell ya it was on my mind the entire time throughout the entirety of the day i loathed daily responsibilities that took away dexters screen time very unhealthy looking back not that i could help it one year after finishing the show dexter still crosses mind on a regular basis one example me writing this review at nearly am in the morning lol and oh my am i looking forward to the reboot next fall one request please please please do not be turned off by all of the negative reviews about its tragic ending everyone wanted their own perfect ending impossible but what the producers put together is perfectly on brand with the season storyline that precedes it i have to believe true dexter fans understand this,POSITIVE
21,21,7.0,25 October 2006,"Dexter is hilarious; it is easily the best new show on TV! Dark, dry humor crops up in the most unexpected places, and the settings and dialogue are laced with CSI's pseudo-scientific appeal. While the show may appear to treat standard morality as irreverent, it is actually an excellent study of humanity at its best -- and worse.

The character of Dexter, a disassociated, psychopathic serial killer, is somewhat reminiscent of Data, the android in the Star Trek series. Dexter is devoid of normal, human emotion, and has to learn behaviors by rote. Seeing the world through his eyes enables us to closely examine what is ""right"" and what is ""wrong."" We have to pause and wonder about our own perception of reality.

Overall, the show is a side-splitting outlet for the vigilante/serial killer/dysfunctional being in all of us. Well done!","October 1, 2006 (United States)",dexter is hilarious it is easily the best new show on tv dark dry humor crops up in the most unexpected places and the settings and dialogue are laced with csis pseudoscientific appeal while the show may appear to treat standard morality as irreverent it is actually an excellent study of humanity at its best and worse the character of dexter a disassociated psychopathic serial killer is somewhat reminiscent of data the android in the star trek series dexter is devoid of normal human emotion and has to learn behaviors by rote seeing the world through his eyes enables us to closely examine what is right and what is wrong we have to pause and wonder about our own perception of reality overall the show is a sidesplitting outlet for the vigilanteserial killerdysfunctional being in all of us well done,POSITIVE
25,25,9.0,13 September 2020,"I'm here in 2020 to remind everyone to watch Dexter at least once in their lives. There are very few shows I circle back to once I've experienced the conclusion, but I still cannot get enough of Dexter. Every time through I experience another ""oh damn"" moment that I didn't catch the first time around. This keeps me in constant fascination of how brilliantly woven and expertly portrayed this story is. The writing is superb and you will never get ahead of the twists and turns.

Did you ever think you'd have empathy for a serial killer? Me either...

Watch it. Trust me.","October 1, 2006 (United States)",im here in to remind everyone to watch dexter at least once in their lives there are very few shows i circle back to once ive experienced the conclusion but i still cannot get enough of dexter every time through i experience another oh damn moment that i didnt catch the first time around this keeps me in constant fascination of how brilliantly woven and expertly portrayed this story is the writing is superb and you will never get ahead of the twists and turns did you ever think youd have empathy for a serial killer me either watch it trust me,POSITIVE
26,26,10.0,23 October 2006,"After four episodes, I'm ready to proclaim this the best show currently on TV, one that may someday rank with the likes of _The Sopranos_ and the first season of _Twin Peaks_ as a contender for the second best TV show ever (after the incomparable _Buffy the Vampire Slayer_; one of the show's producers and writers is former Buffy writer Drew Z. Greenberg, and the cast includes Buffy / Angel mainstay Julie Benz).

Dexter is a sociopath, someone with no human feelings and hence no natural, inner moral compass, and he has an unquenchable blood lust that drives him to kill. But he had the great grace to have been the adopted child of a police officer, who (as we see in terrific flashbacks) successfully instilled in him a complete moral code, which he adheres to on a strictly intellectual level. This is an utterly brilliant concept (which I assume derives from the novels it's based on), one that allows the writers to explore the nature of moral behavior and of what it means to be human (Dexter is, in a sense, an alien).

Another thing the show is doing brilliantly is moving at different speeds in parallel. There is a primary apparent season-long story arc (concerning a cat-and-mouse game between Dexter and a serial killer), and a a secondary arc involving Dexter's sister's police career. The first handful of episodes include a very powerful completed arc concerning one of Dexter's police colleagues and a local crime lord, while two of the four episodes so far have also included a self-contained story spliced among (and playing off) the ongoing ones. I've seen the future of TV season structuring, and this is it.

While the writing isn't quite up to the brilliance of the best of _House_, it's been excellent. The cast and production are terrific. The only reason you wouldn't want to watch this utterly brilliant show is the frequent use of extremely graphic images: there have probably been more severed body parts shown in these first four episodes than in the first four episodes of every other TV show on the air combined. If you can stomach that, tune it for a mesmerizing look at what makes us human -- or inhuman.","October 1, 2006 (United States)",after four episodes im ready to proclaim this the best show currently on tv one that may someday rank with the likes of _the sopranos_ and the first season of _twin peaks_ as a contender for the second best tv show ever after the incomparable _buffy the vampire slayer_ one of the shows producers and writers is former buffy writer drew z greenberg and the cast includes buffy angel mainstay julie benz dexter is a sociopath someone with no human feelings and hence no natural inner moral compass and he has an unquenchable blood lust that drives him to kill but he had the great grace to have been the adopted child of a police officer who as we see in terrific flashbacks successfully instilled in him a complete moral code which he adheres to on a strictly intellectual level this is an utterly brilliant concept which i assume derives from the novels its based on one that allows the writers to explore the nature of moral behavior and of what it means to be human dexter is in a sense an alien another thing the show is doing brilliantly is moving at different speeds in parallel there is a primary apparent seasonlong story arc concerning a catandmouse game between dexter and a serial killer and a a secondary arc involving dexters sisters police career the first handful of episodes include a very powerful completed arc concerning one of dexters police colleagues and a local crime lord while two of the four episodes so far have also included a selfcontained story spliced among and playing off the ongoing ones ive seen the future of tv season structuring and this is it while the writing isnt quite up to the brilliance of the best of _house_ its been excellent the cast and production are terrific the only reason you wouldnt want to watch this utterly brilliant show is the frequent use of extremely graphic images there have probably been more severed body parts shown in these first four episodes than in the first four episodes of every other tv show on the air combined if you can stomach that tune it for a mesmerizing look at what makes us human or inhuman,POSITIVE
27,27,10.0,26 October 2020,"Despite being so many seasons, no one gonna feel bored or detached. Impressive and outstanding series.","October 1, 2006 (United States)",despite being so many seasons no one gonna feel bored or detached impressive and outstanding series,POSITIVE
28,28,10.0,10 March 2011,"I've just seen the finale of season 5 of Dexter and man...! What a series! This is writing at his best! I just love Michael C. Hall plays his part. His does it so well, it completely let you forget that he played the role of David in Six Feet Under (my favorite of all time-series!). And all the characters in the five seasons are really wonderful, but I especially liked Julia Stiles. She's playing her part very nice!! Lithgow in season 4 does his part only as he can do and it works fine for me! Can't wait 'till he returns! (he must return!!) Here in Holland ""Dexter"" airs on a non-commercial canal en mostly about 23.00 h. at night. Nobody in Holland heard of this series, unless they watch in online or on DVD. And that's a pity... I can't wait until season 6.... Keep on the good work!","October 1, 2006 (United States)",ive just seen the finale of season of dexter and man what a series this is writing at his best i just love michael c hall plays his part his does it so well it completely let you forget that he played the role of david in six feet under my favorite of all timeseries and all the characters in the five seasons are really wonderful but i especially liked julia stiles shes playing her part very nice lithgow in season does his part only as he can do and it works fine for me cant wait till he returns he must return here in holland dexter airs on a noncommercial canal en mostly about h at night nobody in holland heard of this series unless they watch in online or on dvd and thats a pity i cant wait until season keep on the good work,POSITIVE
29,29,7.0,11 January 2022,Best show ever. Loved everything about the ending because we knew Dexter was going to control his dark passenger. NEW BLOOD SUCKS. Don't watch it because you'll be more grateful for this ending.,"October 1, 2006 (United States)",best show ever loved everything about the ending because we knew dexter was going to control his dark passenger new blood sucks dont watch it because youll be more grateful for this ending,POSITIVE
30,30,10.0,19 October 2020,"Keeping it short,

You're getting a serial killer who's made to kill evil.

You'll love him and weirdly you'll be able to relate to him. Odd eh?

Enjoy (ps watch out for Easter Eggs in the background of scenes secretly placed)","October 1, 2006 (United States)",keeping it short youre getting a serial killer whos made to kill evil youll love him and weirdly youll be able to relate to him odd eh enjoy ps watch out for easter eggs in the background of scenes secretly placed,POSITIVE
