Rating,Review_Date,Review,Release_Date
6.0,"Jun 8, 2023","Transformers: Rise of the Beasts offers an exciting blend of action, nostalgia, and new characters that will engage both longtime fans and newcomers to the franchise. Directed by Steven Caple Jr. And set in the 1990s, the film introduces a fresh narrative revolving around the Maximals, Predacons, and the Autobots, which adds a unique twist to the beloved Transformer saga.

The visual effects are undoubtedly a highlight, with impressive CGI that brings the massive robots to life in spectacular battles. The action sequences are exhilarating, featuring dynamic choreography and breathtaking visuals that keep you on the edge of your seat. The vibrant settings, from urban landscapes to lush jungles, also contribute to the film's overall aesthetic appeal.

While the action and visuals shine, the plot feels somewhat formulaic. The story follows familiar patterns seen in previous Transformers films, and at times it lacks the depth and nuance needed to elevate it beyond a straightforward sci-fi action flick. Some character development falls by the wayside, leading to a few underwhelming performances.

That said, the chemistry between the human characters provides some heartfelt moments, and the humor scattered throughout the film adds levity to the intense action. The voice performances of the Transformers themselves, particularly those of the new characters, breathe life into the story and provide a sense of personality that fans will appreciate.

Transformers: Rise of the Beasts is an entertaining rollercoaster that delivers what fans have come to expect - thrilling action and spectacular visuals. While it may not rewrite the rulebook for the franchise, it's a fun addition that continues to build the expansive Transformers universe. Perfect for a summer blockbuster, it's a movie worth seeing for fans looking to enjoy light-hearted escapism.","June 9, 2023 (United States)"
7.0,"Jun 9, 2023","After the last Transformers movie, I really didn't think these movies could get any dumber, or that they would release even more of these, but I guess I underestimated the allure of another cash grab.

This movie has all the hallmarks of the nowaday Transformer movie: worn out clichés, a horrendous script that might as well have been written by teenagers with zero character development, lazy attempts at humour, tired clichés, the fake patriotism, and explosions explosions explosions.

To top it off the creators have decided to broaden the market appeal by suddenly cast non-white actors and play what they seem to think is cool music. Sadly, I guess it could work but man, how lazy.

I guess it might work for teenage boys filled with testosterone, can't really se who else this is marketed to.","June 9, 2023 (United States)"
6.0,"Jul 16, 2023","At no point did these characters pull me into this movie, there was just zero connection. I have no idea who any of them are! How is that possible for such a big franchise such as Transformers? Is this all they could find when casting? Mirage was the only entertaining character and carried the movie.

Also is it just me or did it feel like it took a long time for the movie to take off? I understand we need to develop characters but at times in the first part of the movie I forgot I was even watching a Transformers movie.

I felt like the CGI was a little overdone too. I feel like some parts the bots looked almost cartoonish compared to the grungy look from previous movies.","June 9, 2023 (United States)"
6.0,"Jun 9, 2023","Transformers rise of the beasts took everything that worked with Bumblebee . Anthony Ramos and Dominique fishback did a great performance and pete Davinson as mirage stole the show , but the true star is without a doubt the adsolute best soundtrack of the 90' . I am happy to say that transformers is a lot of fun , the cgi looks pretty good . When I first watched this film a lot of people were clapping and they laughed a lot . In conclusion , this new transformers movie is the beginning of something much bigger ! Cant wait to see what paramount pictures has in store for us. . this movie deserves a 9.5/10.","June 9, 2023 (United States)"
6.0,"Jul 22, 2024","Transformers Age of Extinction and The Last Knight have drag the the franchise to the ground... but Bumblebee movie makes a new turn giving some hope to the franchise and this move...Rise of the Beasts followed by Bumblebee gets the job done and put the transformers franchise back into the right track...

The movie is not a masterpiece.....its not bad either...movie has a great flow starting to the end without making any brake points.... and there are no scenes where you can experience jumps from the main story like it was in Bayverse movies.... Movie has refreshed music with the all time classic Transformers Theme.... CGI was good...they have definitely done a great job....though they were not impressive like in the Bayverse...they could definitely improve transformations a little in some scenes but overall it is good.

I recommend watching this movie as this could be a game changing start for Transformers franchise.

""At last, there is hope after all..."" - Drift.","June 9, 2023 (United States)"
1.0,"Jul 6, 2023","Good lord, after watching this film my IQ has been lowered by 10%... Starting out with the mish mash of 90's hip hop tunes that don't really work in the film, and then later the film forgets about the hip-hop and reverts to standard orchestral music.

The white male boss who doesn't want to give the Latino a job. And then Mirage the autobot mercilessly killing white cops in the car chase.

Then the Spanish transformer, and the Latino character is like ""Wow your spanish"" and the Spanish transformer replies ""That's racist..."" like omg... what is wrong with these writers?

And the two human hero's go into a tomb and they say: ""This is some indiana jones stuff"" and it just reads like the writers thought ""Lets have an indiana jones style section"" and then they comment on their own ideas in the script. So 4th wall breaking, but NOT in a good way.

At this point, I think a large section of Hollywood is just a rich club of nepo-babies without a single shred of talent, who are totally obsessed with shoving modern politics into everything. Like seriously, get some original ideas, and get a life. ( and I'm saying that as a Left Wing guy - but what do these issues have to do with Transformers??? )

No thank you. Skip the film for sure.","June 9, 2023 (United States)"
7.0,"Jun 7, 2023","A film similar to the previous ones with some improvements, but fundamental is nothing really interesting. The story recalls other products, good visual effects and CGI, but this is not enough to save a film that follows the previous ones.

This is a brand that has now given everything, maybe it's time they put it to rest. A film you see once is enough, it's not a memorable film. To be watched without too many pretensions, it is not a bad film but it is not a good film. I liked Bubblebee the previous film before this one, this one much less. The premises are there to be a good product but they need to work more on the screenplay.","June 9, 2023 (United States)"
3.0,"Apr 23, 2024","Honestly the last couple acts saved this movie. It went from a -1 to at least a 6. The classic Optimus/Peter Cullen came to fruition later in the film. I started feeling like a young kid again hearing Peter cullens trash talk and all was forgiven. Dare I say the film finished better than most transformer films to date.

The beasts: primal and crew, was awesome. One scene when he and Optimus prime teamed up, classic.

Dominique/Elena was good. She added a lot to the film.

Anthony/Noah was ok but his whole family background wasn't needed. The poor boy blah blah blah was tiresome and I found myself bored in the beginning.

Lastly, Pete. He's funny and all I get it. But with bumblebee getting a serious back seat, I wasn't happy.

But as I started this rant, the last hour or so was awesome. And it was a nice treat at the end, that definitely left me with anticipation for the future.","June 9, 2023 (United States)"
10.0,"Jun 6, 2023","""Rise of the beasts"" but doesn't feel like a beasts was rising. 5 years of waiting a new Transformers film after Bumblebee (2018), I was expecting some Optimus Prime solo film or maybe some decent Transformers film but what we got is some mixed up faction betwen Autobots, Maximals and Terrorcons.

The problem with this film is that they introduce some of new characters but they force it into 1 hours film which is a mistake, this film should've been a 2 hours because there were new characters that we've never seen before in live action and they need some backstory about this new charactes. They only focus with the backstory about the humans which is boring because they got more screentime than the Maximals and i feel dissappointed with Rhinox and Cheetor, they have less screentime.

The transformation of robots in this film was kinda boring. In the bayverse the transformation of the Transformers feels like a slow but fast and smooth and we can see clearly how do they transform into robots. In this film the transformation was kinda fast and the CGI was kinda greyish so it's very hard to see what they transform into.

And oh god what have they done with Wheeljack. Wheeljack is such a useless character in this film. This film can work without Wheeljack. They change his design, his voice, his personality and worstly he doesn't even do anything in this film beside chasing Battletrap with Arcee.

Unicron? They should just make a movie about Autobots fighting The Decepticons because they really have a balls of steel to use Unicron in the first film Transformers in the reboot universe. I mean come on man this was a second film in the reboot universe and they just straight introduce us to Unicron. They should just do with Unicron later because this universe need more fresh story. It feels like a DCEU film when we got to introduce with Superman and then he fight Batman in the next film and then in the next film they introduce Darkseid.

The only things i like about this film is the soundtrack. Steve Jablonsky is back and he use his original Transformers 2007 theme in this film and i was surprise at the end of the film and Optimus Prime did his final speech after 6 years the last time he did his final speech in Transformers The Last Knight.

(Sorry for the bad English because I live in Asia)","June 9, 2023 (United States)"
7.0,"Jun 10, 2023","Solid 7/10 here, and far better than the last few offerings, although admittedly I lasted exactly 12 minutes in ""The Last Knight"" before turning it off.

Rise of the beasts is pretty thin on story but there's just enough to hold interest and having the Gen 1 designs make a comeback is a nice addition, despite my lack of nostalgia for them.

I honestly don't know what to say beyond that, perfectly serviceable action movie with giant robots. Would have been nice to see a bit more of Unicron and a bit more development / depth to Scourge but hey, I grew up watching Transformers: Beast Wars and this delivers on that, all your favourites from the series, in one big brawl for the planet. 7/10.","June 9, 2023 (United States)"
2.0,"Jul 27, 2023","The formula that made Transformers 1, 2 and perhaps 3 memorable great, true classics; you won't find that here. No amazingly designed, super impressive robots like those sandstorm robots, no megan fox-style shots, not the coolest cars, and optimus ain't the super hero warrior knight.

But, if you can ignore the first hour of mandatory 2023-era propaganda, it gets better over time. The action is still good, kids still loved it, and overall the film ended with me thinking ""ok, all in all it's not bad, I just got to see through the many weird and illogical things that just happened, sit back and enjoy the ride"". And that works. Can't wait to see the next installment.","June 9, 2023 (United States)"
6.0,"Jun 13, 2023","Transformers: Rise of the Beasts has become an entertaining film, but it is really nowhere near high quality. That is absolutely not due to the effects, because they are very good, but story-wise it is all very weak and at times even a bit childish. Fortunately, the makers kept the running time very decently at just over 2 hours and did not stretch over the two and a half hours like the other films. Yes, the film is worth watching on the big screen, but it is suspected that it will not look as good on your home screen because it is less impressive. The ending is kept completely open, so one or more sequels are inevitable.","June 9, 2023 (United States)"
6.0,"Jun 11, 2023","Transformers: Rise of the Beasts combines the character focused approach of Bumblebee with the bombast of the previous Bay films for a great globe trotting adventure that wastes no time and strikes a much better balance in screen time given to its human and Transformers characters, even if the beasts themselves are actually surprisingly underutilized.

Anthony Ramos gives a really good lead performance, he's easy to root for and has genuinely strong relationships with Optimus Prime and Mirage. Mirage is the standout with Pete Davidson voicing the character, the constant quips never get annoying and he still has an emotional connection to Noah as well.

Peter Cullen is always perfect as Optimus Prime and this is undoubtedly some of his best work in the live action films. Its what Bay was going for in his later installments but done better, an Optimus Prime who's not the ideal leader but a selfish, broken one carrying the weight of the world on his shoulders.

Steven Caple Jr.'s direction is strong overall, the fights can get a little chaotic but a second act chase and third act final battle are still a lot of fun. The music by Jongnic Bontemps wisely chooses to lay off the nostalgia for the most part, creating its own epic score and using classic pieces sparingly.

The soundtrack does a good job making it easy to adjust to the time jump and making it feel authentic and the CG is impressive overall. There's obviously a few weak spots throughout but it's still maintains that balance between realistic details and more animated flourishes.","June 9, 2023 (United States)"
7.0,"Jun 11, 2023","I have had this on my list of movies to watch for a long time and I finally got around to it on Fathers day no less.

I was thinking this was gonig to be average like all the other new installments of the movie series but i was presently surprised with how well the writters bring the two worlds of the apes and transformers together.

At somepoint I thought I was watching three movies in one. What movies you may ask well Tranformers VS Planet of the Apes as the title states plus ""The Fast & Furious series"" Ohh and there was a period in this movie that they got to Peru and it felt like ""Indiana Jones"" IYou really could escape in this movie and for two hours plus be taken into a world that is amazing and takes you back to the childhood.

The movie had a killer soundtrack some breath taking scenery and the cast both voice and on screen were amazing.

Add ths to your Transformers movie cllection and you wont be disapointed at all.

I hope they keep the series going afte this I feel that the new young leading cast is good and can keep this going and would be awesome to see how these characters can grow.

Young kids should watch this with parental units would be lots of fun.","June 9, 2023 (United States)"
6.0,"Jul 20, 2023","The dialogue is boring and stale.

Movie script does not make much sense, I almost fell asleep thus had to stop watching.

It's clear that all the talented and amazing, struggeling people in this movie are of black or brown skin complexion.

White people take advantage of everyone and are mean and opressive.

I could only watch 20minutes until I realized that this movie was not for the purpose of entertainment but for making me realize that I as a white male am a bad person and that this movie is mostly a continuance of the current political agenda.

Do not watch this garbage. Stick with the original trilogy.","June 9, 2023 (United States)"
3.0,"Jul 9, 2023","Rebooting a franchise isn't easy, especially one with such beloved and iconic characters as the Transformers. However, the latest installment, Transformers: Rise of the Beasts, has achieved this feat with spectacular results, making it not just a pleasant surprise, but arguably one of the best movies in the Transformers franchise to date.

A pleasant surprise for modern blockbusters is its computer-generated imagery (CGI). The quality of the CGI in ""Rise of the Beasts"" are not a muddied mess we've come to expect with modern blockbusters, and is arguably the best I've seen in a while. The Autobots, and the newly introduced Predacons and Maximals look incredible.

The narrative offers an engaging blend of the familiar and fresh, exploring further into the Transformers mythos. Long-time fans will appreciate this movie, finally seeing the Maximals on the silver screen.

However, ""Rise of the Beasts"" is not without its drawbacks. The most notable among them is a sense of disproportion in its story's elements. The movie leans too heavily on human interaction, reducing the robot action that the audience so dearly craves. We do understand the need for human characters to anchor the story and bridge the gap between our world and the Transformers'. Still, the franchise is about 'Robots in Disguise,' and we'd love to see more from these fascinating mechanical protagonists.

The third act's story seems a bit underwhelming. The plot's culmination feels somewhat lazy, like a hurried wrap-up instead of a thoughtfully designed climax. The only positive to the climax is an epic bot-bashing fight that the film should have more of throughout instead of leaning on the human element as much as it does.

But it's not all doom and gloom. The franchise appears to be on an upward trajectory, gearing up to expand its universe in the most thrilling way. The end credits scene is an electrifying surprise that creates a wave of anticipation for fans. It hints at bigger and bolder things to come, setting up future installments and universe building.

To sum up, Transformers: Rise of the Beasts is an exciting rollercoaster ride that impresses with good CGI and reinvigorates the franchise. Despite its imperfections, the film delivers on the promise of epic, otherworldly adventure that the Transformers brand has become synonymous with. If you are a fan of towering bots, interstellar wars, and bot-smashing visual effects, this movie is a must-watch. And remember, stay until the mid-credits scene.

The future for the Transformers franchise looks bright indeed, and ""Rise of the Beasts"" plays an integral part in this promising horizon. We can only hope the subsequent films bring us more robot action, and more of the transforming titans we love. After all, in the world of the Transformers, there's always more than meets the eye. This movie is Miko approved, 7.5/10.","June 9, 2023 (United States)"
6.0,"Jul 11, 2023","Look, I'll admit it's not perfect but you can't possibly convince me this is worse than the dull Age Of Extinction (what exactly happened to Galvatron? What a waste!) and The Last Knight (awful plot, massive Unicron plot hole, and butchered Hot Rod).

Rise of the Beasts blends the 80s Unicron Storyline with the 90s Maximals plot into a gorgeously CGI'd story. Seriously, how is the CGI in films like The Flash and Thor 4 so dodgy but Transformers 6 still has insanely good CGI? While the human characters may have been quite forgettable, the Transformers themselves were fun. I liked the way they used Unicron in this one compared to in TLK when they decided to stupidly make Earth Unicron. Scourge was a really cool villain to have after the last few less interesting Megatron variants.

Overall, I feel they should ditch humans for the next film and just do the Transformers on Cybertron. Maybe they should adapt the Cybertron video games into a movie?","June 9, 2023 (United States)"
8.0,"Jul 2, 2023","Well, after I left the theater I felt somehow lobotomized, numb and dead like a rock (well, maybe I'm wrong and stones are more alive than I realize). Transformers: Rise of the Beasts is one of those many examples that raise one question: where are the talents and the creative people these days? Certainly not too many are involved in the movie business - Rise of the Beasts got nothing that will raise it above the bar of barely acceptable: a dead boring story line, dead boring characters, and terrible dialogues we listened to one million times before. The special effects are somewhat okay, but, well, that's pretty standard these days. Recommendation only for the absolute hardcore fan of the Transformer universe or for those who are - for whatever reason - in need for some brain killing experience.","June 9, 2023 (United States)"
7.0,"Jun 8, 2023","Unicron is a planet-eating, power-mad, giant, God-like machine. It is seeking the Transwarp Key which opens portals throughout the universe. Its army of Terrorcons is led by Scourge. They track the Key to the planet of the Maximals. Some manage to escape to Earth with the Key. It's 1994. Noah Diaz (Anthony Ramos) can't get a job and is recruited to steal a car. The car turns out to be Autobot Mirage. Meanwhile, museum intern Elena Wallace (Dominique Fishback) uncovers the Key which alerts Optimus Prime. Scourge is soon to follow.

The Transformers franchise is on the road to recovery. I don't know if it will get there. At least, it doesn't suck anymore. Michael Bay is no longer directing and it has basically three effects. The action is no longer so chaotic. I get the sense that Bay has been trying to top himself in these movies and it just got out of hand. The second effect is his bad sense of humor. It was getting cringeworthy. This one has its humor. It's light and fun. Finally, the story makes sense. In the same way like the action, Michael Bay's story telling was getting unhinged. This movie has a simple story told well enough. It's not winning awards for it. It doesn't need to. The young leads are fine. Time will tell if they can carry this franchise forward. The same goes for the franchise in general. Time will tell.","June 9, 2023 (United States)"
1.0,"Sep 1, 2024","I appreciated the fact that this film made Optimus Prime an actual character, and that it found a couple of interesting, believable ways to give the human characters a legitimate use in the story.

Aside from a few moments involving these things, I was bored senseless by this movie.

I struggle to comprehend how a script like this passes so many hands and makes it to production; it has some of the worst dialogue this side of Attack of the Clones.

Everything in this movie is told to us, rather than creatively shown. It's obnoxious, it's lazy, and it's stupid. It treats us, the audience, like we're stupid as it spoon feeds every piece of information to us like we're infants, even though the story is really simple and nothing original or complex happens once.

All this could be saved if the action were entertaining and investing. But it isn't, aside from a handful of stylish shots.

Say what you will about Michael Bay's movies. (They're bad.) But at least they had huge scale to them and the stakes were understood.

This is a bland blockbuster movie, through and through. The action never features any destruction or threat to human life. There isn't a practical, real thing happening on screen.

Artificial, boring, and derivative, with about 5-10 minutes worth of good material.

I thought Bumblebee was a bright spot, but it looks like the good streak has been cut short.","June 9, 2023 (United States)"
7.0,"Aug 14, 2023","Whilst I was watching this Film, I thought it was Good But not Excellent.

What i liked about the Film -

1. The Story Was Solid and keeps You Interested throughout the Film.

2. The Action Set Pieces were anywhere from Decent to Good but again Not Excellent.

3. Some of the Dialogue was Good, I liked certain sections, especially when Optimus Prime was Speaking with Optimus Primal.

4. Some of the Jokes were Good.

Negatives about the Film -

1. The Emotion was sometimes missing in certain parts and there in others. They needed to hit all of those parts, not just some.

2. The Action Set Pieces were only decent to Good. They needed Multiple moments of Brilliance in the Action.

3. Scourge the Villain was a Basic Villain, give him some depth or personality or something. He was Basic as Hell. One of his Friends (Purple Villain) was better than Scourge.

Overall, this Film was Ok at Best.","June 9, 2023 (United States)"
6.0,"Jun 15, 2023","This movie is basically an ethnic version of the other Transformer movies. Nary a white face in sight anywhere..

That said, it sucks. It's really the same story as the others and a rip of af the Avengers with a ""key"" replacing the gems on a glove.

It's derivitive and boring. Really poorly directed.

It's set in 1994, but somehow all the transformers are more advanced than the later movies set in current times. How does that work out?

If you saw any of the other transformer movies you don't need to see this one. In fact, you shouldnt see this one because it's the worst of the bunch and you'll really feel bad afterwards.","June 9, 2023 (United States)"
6.0,"Jun 14, 2023","I apologize if the title seemed snarky, but what exactly would you expect from a movie made from a toy line? Two of them, if you count the G. I. Joe connection in one of the end-credit scenes. You have three different tribes of giant robots that ""hide"" on Earth, knowing nothing of each other and of themselves in some situations, some diverse humans to help them out in ways that make little sense, some good actors to voice stuff and a terribly childish plot. So I reiterate my thesis: imagine a kid playing with toys, making up things as he goes along and making funny voices for the characters and you get the feel of the movie.

I had no problems with the acting or the special effects. The movie was exactly what I had expected. The story didn't make and will never make any sense in any of the Transformers movies, so give that up already.","June 9, 2023 (United States)"
3.0,"Dec 22, 2023","Did we finally get a good transformers movie?

No.

But we do get glimpses of what a good transformers movie can look like, just like in the 2019 Bumblebee.

This movie, overall, is fine. There isn't any other word for it. Thankfully, the franchise was rebooted after 5 movies (which saw the transformers in a very.... different light). So there isn't anything atrociously bad about this movie. The writing isn't exactly lazy. There isn't any unnecessary, vulgar humour (yeah god knows what the previous movies were thinking). Transformers had gotten to a point that this alone feels nice.

The movie kicks off with a great 1st act. But it just slows down in the middle. Then it finally picks up with a nice final act.

The writing still isn't good. The human characters are still very boring and keep dragging the movie down. The character of Elena, especially, feels so unnecessary (nothing like Hailee Steinfeld's character in Bumblebee). You can clearly see from the plot that the writers are constantly looking for something for Elena to do and it feels so forced. The character of Noah is fine. There are times when I liked the direction they took with him, but there are times when it was just cringey.

But most of the time when the transformers are on the screen, it's very fun. Mirage was a wonderfully fun character and it was great to see him interact with Noah. There is also a great car chase scene with him early on. I also liked how they wrote Optimus' character. Rather than just being the big noble leader, they gave him problems to confront, which made him actually feel like a character for once. Even Bumblebee has a GREAT scene - easily my favourite scene of the movie. And the visuals were great to see. Every shot just felt very polished and colorful.

In the end, I'm disappointed but I don't regret watching it. This movie has made me believe that there is a great transformers movie out there somewhere. But it has also made me realise that I'm not going to get that movie anytime soon. This movie is another step in the right direction for this franchise, but they're walking slowly.","June 9, 2023 (United States)"
7.0,"Jun 16, 2023","I'm honestly pretty baffled how this is getting worse reviews than Fast X. It's easy to compare the two films given their release dates and long-running franchise status. After seeing these films back-to-back, I found Rise of the Beasts to be significantly more enjoyable. The first half alone is better than anything in Fast X.

Paramount seems to be course-correcting pretty well after all of the damage Michael Bay did to the brand. This and Bumblebee were both pretty enjoyable films. Yes, there's still the 3rd act bombast and spectacle, but it's a lot easier to tell what's going on in this film. The jungle setting is also quite refreshing from the endless skyscrapers in the other movies. I still don't think we need so much emphasis on humans, but it is handled much better here. The soundtrack is also lots of fun and I loved the overall 90s hip hop vibe. It's definitely a bit cheesy, but there are some fun moments in the climax that made me crack a smile.

Rise of the Beasts won't blow you away, but it's a nice, enjoyable step forward for a franchise that needed some new life.

I will say that the post credits stinger is kinda nuts, but on-brand for the cinematic world we live in now lol.","June 9, 2023 (United States)"
